City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Kaitangata,NZ,-46.2817,169.8464,61.74,59,87,1.83,overcast clouds
80,Touros,BR,-5.1989,-35.4608,77.9,73,70,6.53,broken clouds
81,Homer,US,59.6425,-151.5483,26.49,80,100,3.44,light snow
82,Upernavik,GL,72.7868,-56.1549,1.2,62,100,9.69,overcast clouds
83,Matara,LK,5.9485,80.5353,74.35,90,38,4.7,scattered clouds
84,Luderitz,NA,-26.6481,15.1594,69.33,71,0,28.34,clear sky
85,Avera,US,33.194,-82.5271,50.76,39,100,7.74,overcast clouds
86,Punta Arenas,CL,-53.15,-70.9167,71.71,20,0,14.97,clear sky
87,Tafalla,ES,42.5269,-1.6745,45.48,88,0,7.58,clear sky
88,Lazaro Cardenas,MX,17.9583,-102.2,83.05,56,0,9.75,clear sky
89,Bredasdorp,ZA,-34.5322,20.0403,63.72,72,35,6.91,scattered clouds
90,Kloulklubed,PW,7.0419,134.2556,77.5,82,86,13.15,overcast clouds
91,Mahon,ES,39.8885,4.2658,48.76,87,0,6.91,clear sky
92,Kjollefjord,NO,70.9457,27.3465,31.78,66,100,5.84,overcast clouds
93,Memphis,US,35.1495,-90.049,47.17,41,40,14.97,scattered clouds
94,Uribia,CO,11.7139,-72.266,88.11,44,7,13.15,clear sky
95,Daru,PG,-9.0763,143.2092,77.29,88,100,6.85,overcast clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,75.22,72,20,20.0,few clouds
97,Amga,RU,60.8953,131.9608,-28.21,100,100,2.24,overcast clouds
98,Araouane,ML,18.9048,-3.5265,71.13,15,62,10.51,broken clouds
99,Pelym,RU,61.0108,61.9978,-10.64,100,97,2.77,overcast clouds
100,Kuloy,RU,61.0305,42.4925,13.91,93,100,7.72,overcast clouds
101,Marshfield,US,44.6689,-90.1718,14.34,52,75,9.22,broken clouds
102,Grants,US,35.1473,-107.8514,39.43,33,0,6.91,clear sky
103,Arlit,NE,18.7369,7.3853,63.82,14,0,9.28,clear sky
104,Murgab,TM,37.4966,61.9714,39.07,70,75,4.61,broken clouds
105,Barrow,US,71.2906,-156.7887,-14.78,70,100,17.27,overcast clouds
106,Taoudenni,ML,22.6783,-3.9836,74.03,13,94,11.61,overcast clouds
107,Alot,IN,23.7667,75.55,52.99,40,0,5.03,clear sky
108,Port Moresby,PG,-9.4431,147.1797,74.62,100,40,5.75,scattered clouds
109,Arroyo,ES,41.6096,-4.7969,40.14,52,0,9.22,clear sky
110,Saint-Augustin,CA,51.226,-58.6502,23.43,90,100,13.18,snow
111,Mitsamiouli,KM,-11.3847,43.2844,80.85,72,91,4.21,overcast clouds
112,Banda Aceh,ID,5.5577,95.3222,78.51,84,26,5.84,scattered clouds
113,Lorengau,PG,-2.0226,147.2712,80.98,81,100,6.46,overcast clouds
114,Lebu,CL,-37.6167,-73.65,65.48,76,3,6.98,clear sky
115,Linares,CL,-35.85,-71.6,91.96,21,0,7.11,clear sky
116,Mount Gambier,AU,-37.8333,140.7667,60.71,100,100,9.22,overcast clouds
117,Tuatapere,NZ,-46.1333,167.6833,57.81,61,99,4.65,overcast clouds
118,Cidreira,BR,-30.1811,-50.2056,72.93,61,76,12.39,broken clouds
119,Bethel,US,41.3712,-73.414,33.17,79,100,1.01,overcast clouds
120,Annau,TM,37.8876,58.516,31.5,93,5,2.3,clear sky
121,Alice Springs,AU,-23.7,133.8833,72.95,100,75,9.22,broken clouds
122,Aleksandrovskiy Zavod,RU,50.9237,117.9374,-17.09,95,50,3.42,scattered clouds
123,Victoria,HK,22.2855,114.1577,66.18,89,84,3.0,broken clouds
124,Constitucion,CL,-35.3333,-72.4167,65.32,72,0,11.39,clear sky
125,Juneau,US,58.3019,-134.4197,42.22,97,100,1.01,overcast clouds
126,Payakumbuh,ID,-0.2202,100.6308,69.48,95,99,0.74,overcast clouds
127,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,77,20,17.27,few clouds
128,Stoughton,US,42.1251,-71.1023,36.45,63,100,1.01,overcast clouds
129,Marsa Matruh,EG,31.3525,27.2453,50.2,76,40,11.5,scattered clouds
130,Baisha,CN,26.5222,110.9311,34.2,96,100,3.2,snow
131,Vardo,NO,70.3705,31.1107,30.18,86,75,19.57,light snow
132,Bilibino,RU,68.0546,166.4372,-6.27,96,100,4.05,overcast clouds
133,Khatanga,RU,71.9667,102.5,-1.35,87,100,4.9,overcast clouds
134,Airai,TL,-8.9266,125.4092,59.92,92,100,3.15,overcast clouds
135,Souillac,MU,-20.5167,57.5167,79.18,89,75,4.61,broken clouds
136,Zhezkazgan,KZ,47.8043,67.7144,10.81,83,100,13.96,overcast clouds
137,Richards Bay,ZA,-28.783,32.0377,74.7,89,100,12.59,light rain
138,Thunder Bay,CA,48.4001,-89.3168,15.57,50,75,8.05,broken clouds
139,Esso,RU,55.9333,158.7,19.9,97,100,0.98,overcast clouds
140,Cape Town,ZA,-33.9258,18.4232,68.41,73,0,7.0,clear sky
141,San Juan De Los Morros,VE,9.9115,-67.3538,89.62,48,100,3.58,overcast clouds
142,Tiksi,RU,71.6872,128.8694,-3.69,98,100,7.27,overcast clouds
143,Sidi Ali,DZ,36.0998,0.4206,51.6,58,5,8.72,clear sky
144,Waipawa,NZ,-41.4122,175.5153,64.92,50,100,4.18,overcast clouds
145,Grajau,BR,-5.8194,-46.1386,73.62,96,89,4.0,overcast clouds
146,Nassau,US,40.7507,-73.5829,35.01,78,100,1.01,overcast clouds
147,Florida,US,28.7505,-82.5001,64.38,79,40,1.01,scattered clouds
148,Ponta Do Sol,PT,32.6667,-17.1,62.71,60,63,7.45,broken clouds
149,Poddorye,RU,57.4695,31.1156,31.71,99,100,5.17,snow
150,Sharan,RU,54.8167,54.0,6.84,97,99,3.78,overcast clouds
151,Naryan-Mar,RU,67.6713,53.087,0.43,96,99,9.53,overcast clouds
152,Lubango,AO,-14.9172,13.4925,61.21,97,100,7.2,overcast clouds
153,Valparaiso,CL,-33.0393,-71.6273,75.43,53,0,13.8,clear sky
154,Neiafu,TO,-18.65,-173.9833,82.96,77,71,20.6,light rain
155,Rasulabad,IN,26.75,80.4833,49.95,64,0,6.51,clear sky
156,Mahebourg,MU,-20.4081,57.7,79.09,89,75,4.61,broken clouds
157,Portland,US,45.5234,-122.6762,49.84,55,20,3.0,few clouds
158,Port Alfred,ZA,-33.5906,26.891,67.77,76,17,9.71,few clouds
159,Barcelona,ES,41.3888,2.159,55.47,46,0,7.0,clear sky
160,Rawlins,US,41.7911,-107.2387,34.02,29,0,15.82,clear sky
161,Zhigalovo,RU,54.8097,105.1578,-21.14,100,99,0.67,overcast clouds
162,Ostrovnoy,RU,68.0531,39.5131,10.29,94,88,9.06,overcast clouds
163,Miles City,US,46.4083,-105.8406,45.57,36,0,14.97,clear sky
164,Fairview,US,40.8126,-73.999,34.95,81,100,5.75,overcast clouds
165,Marawi,PH,7.9986,124.2928,64.65,92,17,2.08,few clouds
166,Nouadhibou,MR,20.931,-17.0347,64.38,77,100,14.97,overcast clouds
167,Namibe,AO,-15.1961,12.1522,72.82,81,100,5.91,overcast clouds
168,Suntar,RU,62.1444,117.6319,-10.98,95,31,6.4,scattered clouds
169,Corowa,AU,-36.0333,146.3833,73.0,85,100,4.36,overcast clouds
170,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,40.29,heavy snow
171,Saint George,US,37.1041,-113.5841,53.44,21,0,4.0,clear sky
172,Fairbanks,US,64.8378,-147.7164,6.76,53,75,10.36,light snow
173,Cururupu,BR,-1.8283,-44.8683,73.35,96,100,6.51,overcast clouds
174,Pevek,RU,69.7008,170.3133,-17.61,100,32,2.04,scattered clouds
175,Leningradskiy,RU,69.3833,178.4167,-10.77,96,90,1.97,overcast clouds
176,Roald,NO,62.5833,6.1333,42.85,81,40,17.27,scattered clouds
177,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,5.75,scattered clouds
178,Santo Domingo,DO,18.5001,-69.9886,85.68,64,20,4.0,few clouds
179,Catuday,PH,16.2923,119.8062,76.03,84,100,6.82,overcast clouds
180,Carballo,ES,43.213,-8.691,49.77,79,0,4.14,clear sky
181,Vestmannaeyjar,IS,63.4427,-20.2734,33.49,68,100,19.44,overcast clouds
182,College Station,US,30.628,-96.3344,57.6,29,0,17.27,clear sky
183,Fortuna,US,40.5982,-124.1573,63.93,52,0,3.0,clear sky
184,Tupelo,US,34.2576,-88.7034,48.25,34,75,13.0,broken clouds
185,Ilulissat,GL,69.2167,-51.1,17.62,45,100,24.16,overcast clouds
186,Cabo San Lucas,MX,22.8909,-109.9124,80.51,46,20,5.99,few clouds
187,Egvekinot,RU,66.3167,-179.1667,-5.26,91,27,3.24,scattered clouds
188,Brigantine,US,39.4101,-74.3646,41.2,54,100,4.61,overcast clouds
189,Garissa,KE,-0.4536,39.6401,79.75,66,89,14.56,overcast clouds
190,Chibuto,MZ,-24.6867,33.5306,77.27,66,67,7.07,broken clouds
191,Werda,BW,-25.2667,23.2833,75.04,58,22,11.83,few clouds
192,Sisimiut,GL,66.9395,-53.6735,18.91,66,100,19.84,overcast clouds
193,Thongwa,MM,16.7619,96.5278,73.56,62,71,8.84,broken clouds
194,Semirom,IR,31.4167,51.5667,18.46,80,7,3.06,clear sky
195,Ruteng,ID,-8.6136,120.4721,62.65,91,100,1.03,overcast clouds
196,Sakaiminato,JP,35.55,133.2333,40.98,70,75,6.91,broken clouds
197,Fenoarivo,MG,-18.933,47.4354,64.47,88,75,10.36,broken clouds
198,Flinders,AU,-34.5833,150.8552,74.05,85,13,5.99,few clouds
199,Visby,SE,57.6409,18.296,35.82,64,63,14.97,broken clouds
200,Mana,GF,5.6592,-53.7767,78.91,74,46,9.13,scattered clouds
201,Burns Lake,CA,54.2331,-125.7533,13.42,84,100,3.47,overcast clouds
202,Beloha,MG,-25.1667,45.05,71.1,88,0,9.62,clear sky
203,Lanxi,CN,29.2195,119.477,36.36,99,100,2.53,moderate rain
204,Guarumal,PA,8.35,-82.5333,90.93,65,66,10.47,broken clouds
205,Gannan,CN,47.9147,123.5031,2.07,75,25,9.46,scattered clouds
206,Longyearbyen,SJ,78.2186,15.6401,12.04,62,20,14.97,few clouds
